prompt_id,model,device,variant,can_clone,run_index,is_cold,ttfa_ms,gen_s,audio_s,rtf,peak_mem_mb,peak_vram_mb,naq,naq_artifact,naq_naturalness,wall_s,ok,error
1,pocket,cpu,,gated,0,True,32.7,0.234,2.08,8.89,1554.0,,58.2,58.7,57.6,9.87,True,
1,pocket,cpu,,gated,1,False,30.7,0.2586,2.32,8.97,1809.2,,,,,0,True,
1,pocket,cpu,,gated,2,False,28.1,0.2144,1.84,8.58,1809.2,,,,,0,True,
1,neutts_air,cpu,air,True,0,True,1337.2,2.7032,3.5,1.29,5082.1,,57.6,55.1,60.1,22.819,True,
1,neutts_air,cpu,air,True,1,False,352.0,1.1731,2.48,2.11,5123.9,,,,,0,True,
1,neutts_air,cpu,air,True,2,False,356.7,1.9871,4.2,2.11,5147.4,,,,,0,True,
1,neutts_air,mps,air,True,0,True,2182.5,3.087,2.46,0.8,1461.3,,57.4,50.2,64.6,17.225,True,
1,neutts_air,mps,air,True,1,False,546.3,1.7195,3.44,2.0,1514.8,,,,,0,True,
1,neutts_air,mps,air,True,2,False,542.8,1.298,2.44,1.88,1529.7,,,,,0,True,
1,neutts_nano,cpu,nano,True,0,True,684.2,1.1901,1.96,1.65,5943.2,,54.4,51.8,57.1,16.877,True,
1,neutts_nano,cpu,nano,True,1,False,274.8,0.6748,1.88,2.79,5977.5,,,,,0,True,
1,neutts_nano,cpu,nano,True,2,False,286.9,0.6545,1.78,2.72,5977.9,,,,,0,True,
1,neutts_nano,mps,nano,True,0,True,1579.3,2.3135,1.8,0.78,1407.7,,56.6,59.4,53.8,14.067,True,
1,neutts_nano,mps,nano,True,1,False,521.0,0.9119,1.94,2.13,1247.1,,,,,0,True,
1,neutts_nano,mps,nano,True,2,False,459.1,0.7775,1.74,2.24,1262.5,,,,,0,True,
1,luxtts,cpu,,True,0,True,,,,,,,,,,0.027,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,luxtts,mps,,True,0,True,,,,,,,,,,0.015,False,load failed: ModuleNotFoundError: No module named 'luxtts'
1,chatterbox,cpu,,True,0,True,13126.2,13.1262,2.56,0.2,4337.8,,52.4,57.1,47.8,47.13,True,
1,chatterbox,cpu,,True,1,False,9216.9,9.2169,2.4,0.26,4594.3,,,,,0,True,
1,chatterbox,cpu,,True,2,False,9270.5,9.2705,2.4,0.26,4600.9,,,,,0,True,
1,chatterbox,mps,,True,0,True,8714.2,8.7142,2.2,0.25,999.6,,52.6,55.1,50.0,31.194,True,
1,chatterbox,mps,,True,1,False,4618.8,4.6188,2.2,0.48,1122.2,,,,,0,True,
1,chatterbox,mps,,True,2,False,5384.9,5.3849,2.48,0.46,823.3,,,,,0,True,
1,chatterbox_turbo,cpu,turbo,True,0,True,3158.2,3.1582,2.48,0.79,4091.2,,62.4,64.3,60.4,21.015,True,
1,chatterbox_turbo,cpu,turbo,True,1,False,2637.2,2.6372,1.92,0.73,4032.0,,,,,0,True,
1,chatterbox_turbo,cpu,turbo,True,2,False,2616.4,2.6164,2.32,0.89,4162.6,,,,,0,True,
1,chatterbox_turbo,mps,turbo,True,0,True,3902.4,3.9024,2.44,0.63,1954.6,,56.8,59.8,53.8,18.649,True,
1,chatterbox_turbo,mps,turbo,True,1,False,2246.0,2.246,2.12,0.94,1517.4,,,,,0,True,
1,chatterbox_turbo,mps,turbo,True,2,False,1819.2,1.8192,2.44,1.34,1522.9,,,,,0,True,
1,f5tts,cpu,,True,0,True,34948.3,34.9483,1.397,0.04,2259.8,,56.1,60.8,51.4,117.003,True,
1,f5tts,cpu,,True,1,False,34401.5,34.4015,1.397,0.04,2502.1,,,,,0,True,
1,f5tts,cpu,,True,2,False,34471.9,34.4719,1.397,0.04,2502.1,,,,,0,True,
1,f5tts,mps,,True,0,True,30343.9,30.3439,1.397,0.05,1321.1,,50.3,56.9,43.7,97.318,True,
1,f5tts,mps,,True,1,False,30436.4,30.4364,1.397,0.05,1387.0,,,,,0,True,
1,f5tts,mps,,True,2,False,30968.7,30.9687,1.397,0.05,899.1,,,,,0,True,
1,coqui,cpu,,True,0,True,2369.3,2.3693,3.243,1.37,3322.9,,55.3,48.9,61.7,30.964,True,
1,coqui,cpu,,True,1,False,1897.4,1.8974,2.593,1.37,3413.2,,,,,0,True,
1,coqui,cpu,,True,2,False,2318.5,2.3185,3.147,1.36,3413.6,,,,,0,True,
1,coqui,mps,,True,0,True,3739.4,3.7394,2.827,0.76,1916.9,,51.8,53.6,49.9,24.406,True,
1,coqui,mps,,True,1,False,1442.3,1.4423,2.87,1.99,1949.2,,,,,0,True,
1,coqui,mps,,True,2,False,1312.5,1.3125,2.689,2.05,1989.9,,,,,0,True,
1,omnivoice,cpu,,True,0,True,26707.4,26.7074,2.0,0.07,3326.9,,47.4,41.4,53.4,85.27,True,
1,omnivoice,cpu,,True,1,False,23731.0,23.731,2.08,0.09,3603.4,,,,,0,True,
1,omnivoice,cpu,,True,2,False,23839.3,23.8393,1.97,0.08,3595.7,,,,,0,True,
1,omnivoice,mps,,True,0,True,,,,,,,,,,19.523,False,"RuntimeError: MPS backend out of memory (MPS allocated: 3.38 GiB, other allocations: 16.73 GiB, max allowed: 20.13 GiB). Tried to allocate 10.43 MiB on shared pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATI"
1,voxcpm,cpu,,True,0,True,,,,,,,,,,603.24,False,timeout 600s
1,qwentts,cpu,base,True,0,True,17275.9,17.2759,2.16,0.13,2585.6,,57.9,53.8,62.0,52.97,True,
1,qwentts,cpu,base,True,1,False,7553.3,7.5533,1.68,0.22,9542.8,,,,,0,True,
